Artist,Song,Days in top10,Peak,Days on peak,Days,PkStreams,Total
RAF Camora,Liebe Grüsse,,174,1,1,"1,247,782","1,247,782"
Paramore,Running Out Of Time,,146,1,1,"1,247,541","1,247,541"
Young Thug,Abracadabra,,184,1,1,"1,246,072","1,246,072"
KAROL G,Un Gatito Me Llamó,,177,1,1,"1,245,712","1,245,712"
Charli xcx,Von dutch,,197,1,1,"1,245,504","1,245,504"
Calvin Harris,Ocean,,181,1,1,"1,244,817","1,244,817"
Okan xd,Antidepresan,,92,1,1,"1,244,386","1,244,386"
Lil Baby,Get Ugly,,79,1,1,"1,244,351","1,244,351"
Maggie Rogers,Alaska,,163,1,4,"329,372","1,244,291"
Mumford & Sons,Hot Gates,,108,1,5,"271,237","1,244,097"
Metallica,Moth Into Flame,,120,1,3,"520,936","1,243,380"
Migos,Type Shit,,91,1,1,"1,243,104","1,243,104"
Anitta,Mil Veces,,180,1,1,"1,242,592","1,242,592"
The Weeknd,Nothing Is Lost (You Give Me Strength),,153,1,1,"1,242,280","1,242,280"
Mora,CASUALIDAD,,146,1,1,"1,242,008","1,242,008"
"Tyler, The Creator",HEAVEN TO ME,,165,1,1,"1,240,125","1,240,125"
Tame Impala,No Reply,,195,1,1,"1,239,579","1,239,579"
Twenty One Pilots,Garbage,,185,1,1,"1,239,302","1,239,302"
Young Thug,Hellcat Kenny,,189,1,1,"1,239,249","1,239,249"
,Kollegah -,,156,1,1,"1,239,234","1,239,234"
Eladio Carrion,Gladiador - Remix,,163,1,1,"1,238,900","1,238,900"
DJ Khaled,Juice WRLD DID,,99,1,1,"1,238,823","1,238,823"
Young Thug,Gucci Grocery Bag,,190,1,1,"1,238,093","1,238,093"
Playboi Carti,Teen X,,163,1,1,"1,237,609","1,237,609"
Meek Mill,Froze,,184,1,4,"321,842","1,237,575"
Future,HOLY GHOST,,85,1,1,"1,237,507","1,237,507"
Empire Of The Sun,Walking On A Dream,,169,1,1,"1,236,752","1,236,752"
Taylor Swift,Come In With The Rain (Taylor’s Version),,98,1,1,"1,235,904","1,235,904"
Dominic Fike,Mona Lisa,,192,1,1,"1,235,641","1,235,641"
TWICE,SET ME FREE,,158,1,1,"1,234,552","1,234,552"
Melanie Martinez,EVIL,,168,1,1,"1,233,550","1,233,550"
Oasis,Champagne Supernova,,200,1,1,"1,233,360","1,233,360"
Murilo Huff,Deixa Eu - Ao Vivo,,196,1,1,"1,232,450","1,232,450"
Future,Good Dope,,95,1,2,"751,098","1,231,887"
Kid Cudi,GET OFF ME,,199,1,1,"1,231,216","1,231,216"
Aretha Franklin,Son of a Preacher Man,,172,1,2,"649,984","1,230,790"
Rauw Alejandro,LEJOS DEL CIELO,,121,1,1,"1,230,406","1,230,406"
Black Sabbath,Children of the Grave - 2014 Remaster,,195,1,1,"1,230,261","1,230,261"
Lil Baby,Go Hard,,172,1,1,"1,230,084","1,230,084"
Ryan Gosling,City Of Stars,,158,1,3,"469,611","1,229,722"
Daddy Yankee,CAMPEÓN,,78,1,1,"1,228,984","1,228,984"
BTS,Dynamite - Instrumental,,69,1,1,"1,228,322","1,228,322"
Marian Hill,Got It,,156,1,8,"166,756","1,227,789"
Capo Plaza,Allenamento #4,,72,1,1,"1,227,269","1,227,269"
The Clash,Should I Stay or Should I Go - Remastered,,161,1,2,"705,495","1,226,701"
Taylor Swift,Out Of The Woods,,154,1,1,"1,226,291","1,226,291"
Calvin Harris,Obsessed,,87,1,1,"1,225,739","1,225,739"
Lil Wayne,Sharks,,189,1,1,"1,225,661","1,225,661"
Twenty One Pilots,Downstairs,,196,1,1,"1,223,864","1,223,864"
NewJeans,Supernatural,,189,1,1,"1,223,778","1,223,778"
Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",,198,1,2,"613,039","1,223,556"
KAROL G,Bandida Entrenada,,190,1,1,"1,222,354","1,222,354"
Ellie Goulding,Army,,125,1,5,"308,178","1,221,953"
Jessie J,Sweet Talker,,135,1,8,"166,324","1,221,710"
Future,Marni On Me,,79,1,1,"1,221,465","1,221,465"
BTS,I Need U,,108,1,1,"1,221,258","1,221,258"
Morgan Wallen,F150-50,,168,1,1,"1,221,256","1,221,256"
Panic! At The Disco,Hallelujah,,161,1,5,"260,205","1,221,143"
Linkin Park,Sorry for Now,,129,1,2,"749,713","1,220,765"
Sfera Ebbasta,Orange,,129,1,1,"1,220,509","1,220,509"
Nicki Minaj,Fractions,,87,1,1,"1,219,634","1,219,634"
Miley Cyrus,Island,,164,1,1,"1,219,541","1,219,541"
Eladio Carrion,TQMQA,,200,1,1,"1,219,478","1,219,478"
Simone Mendes,Saudade Proibida - Ao Vivo,,197,1,1,"1,219,322","1,219,322"
Lorde,Clearblue,,198,1,1,"1,219,216","1,219,216"
Guè,Cookies N' Cream,,137,1,1,"1,218,593","1,218,593"
Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",,195,1,1,"1,218,518","1,218,518"
NewJeans,Bubble Gum,,200,1,1,"1,217,473","1,217,473"
Burna Boy,Cheat On Me,,189,1,1,"1,217,146","1,217,146"
Damso,MEVTR,,71,1,1,"1,216,093","1,216,093"
